COD_CURSO;COD_DISCIPLINA;COD_TURMA;PERIODO_IDEAL;NOME_DISCIPLINA;VAGAS_OFERECIDAS;DIA_SEMANA;HR_INICIO;HR_FIM;NUM_SALA;NOME_DOCENTE
BCC;GEXT7402;940001;4;CÁLCULO NUMÉRICO;40;QUA;12:50:00;14:30:00;E-306;HELDER MANOEL VENCESLAU
GAMB;GEXT7402;147402;4;CÁLCULO NUMÉRICO;40;QUA;16:30:00;18:10:00;H-105;ARUQUIA BARBOSA MATOS PEIXOTO
GAMB;GEXT7402;147402;4;CÁLCULO NUMÉRICO;40;QUA;18:10:00;19:50:00;E-306;ARUQUIA BARBOSA MATOS PEIXOTO
GAUT;GEXT7402;652023;3;CÁLCULO NUMÉRICO;20;SEG;14:35:00;16:15:00;E-306;WAGNER PIMENTEL
GAUT;GEXT7402;652023;3;CÁLCULO NUMÉRICO;20;QUA;16:30:00;18:10:00;E-415;WAGNER PIMENTEL
GCIV;GEXT7402;720012;3;CÁLCULO NUMÉRICO;40;QUA;12:50:00;14:30:00;E-415;GUILHERME BRAGA DE JESUS
GCIV;GEXT7402;720012;3;CÁLCULO NUMÉRICO;40;SEX;16:30:00;18:10:00;E-306;GUILHERME BRAGA DE JESUS
GEL;GEXT7402;222202;3;CÁLCULO NUMÉRICO;20;QUA;18:10:00;19:50:00;E-415;WAGNER PIMENTEL
GEL;GEXT7402;222202;3;CÁLCULO NUMÉRICO;20;SEG;16:15:00;18:10:00;E-306;WAGNER PIMENTEL
GELT;GEXT7402;322202;3;CÁLCULO NUMÉRICO;20;SEG;16:15:00;18:10:00;E-306;WAGNER PIMENTEL
GELT;GEXT7402;322202;3;CÁLCULO NUMÉRICO;20;QUA;18:10:00;19:50:00;E-415;WAGNER PIMENTEL
GMEC;GEXT7402;Esp Cal Nu;3;CÁLCULO NUMÉRICO;20;TER;19:50:00;21:30:00;E-305;ARUQUIA BARBOSA MATOS PEIXOTO
GMEC;GEXT7402;Esp Cal Nu;3;CÁLCULO NUMÉRICO;20;QUA;19:50:00;21:30:00;E-306;ARUQUIA BARBOSA MATOS PEIXOTO
GMEC;GEXT7402;120302;3;CÁLCULO NUMÉRICO;40;QUI;07:00:00;08:40:00;E-305;NATALIA PUJOL PACHECO SILVEIRA
GMEC;GEXT7402;120302;3;CÁLCULO NUMÉRICO;40;QUI;08:55:00;10:35:00;E-306;NATALIA PUJOL PACHECO SILVEIRA
GPROD;GEXT7402;420068;3;CÁLCULO NUMÉRICO;39;QUI;10:40:00;12:20:00;E-306;NATALIA PUJOL PACHECO SILVEIRA
GPROD;GEXT7402;420068;3;CÁLCULO NUMÉRICO;39;TER;10:40:00;12:20:00;E-305;NATALIA PUJOL PACHECO SILVEIRA
GPROD;GEXT7402;Esp Cal Nu;3;CÁLCULO NUMÉRICO;20;TER;19:50:00;21:30:00;E-305;ARUQUIA BARBOSA MATOS PEIXOTO
GPROD;GEXT7402;Esp Cal Nu;3;CÁLCULO NUMÉRICO;20;QUA;19:50:00;21:30:00;E-306;ARUQUIA BARBOSA MATOS PEIXOTO
GTEL;GEXT7402;520238;3;CÁLCULO NUMÉRICO;20;SEG;14:35:00;16:15:00;E-306;WAGNER PIMENTEL
GTEL;GEXT7402;520238;3;CÁLCULO NUMÉRICO;20;QUA;16:30:00;18:10:00;E-415;WAGNER PIMENTEL
GAMB;GEXT7503;137503;3;CÁLCULO VETORIAL;50;QUA;18:10:00;19:50:00;H-104;ALEXANDRE TOMAN
GAUT;GEXT7503;652016;3;CÁLCULO VETORIAL;20;QUI;18:10:00;19:50:00;CAMPIII203;MARCOS HENRIQUE DA SILVA BASSANI
GCIV;GEXT7503;720011;3;CÁLCULO VETORIAL;50;QUA;16:30:00;18:10:00;H-103;ROBERTO CARLOS ANTUNES THOME
GEL;GEXT7503;222210;3;CÁLCULO VETORIAL;25;SEG;10:40:00;12:20:00;E-301;OLIVIA TERRA COUTO
GELT;GEXT7503;322210;3;CÁLCULO VETORIAL;25;SEG;10:40:00;12:20:00;E-301;OLIVIA TERRA COUTO
GMEC;GEXT7503;120264;3;CÁLCULO VETORIAL;40;SEX;08:55:00;10:35:00;E-301;DAYSE HAIME PASTORE
GPROD;GEXT7503;420064;3;CÁLCULO VETORIAL;50;QUA;10:40:00;12:20:00;CAMPIII201;GUILHERME BRAGA DE JESUS
GTEL;GEXT7503;520173;3;CÁLCULO VETORIAL;25;QUI;18:10:00;19:50:00;CAMPIII203;MARCOS HENRIQUE DA SILVA BASSANI
